i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
10,1,"(1, 2)",1,2,45796.16126767133,3.335647557148161e-5,45796.16123431485,103 milliseconds,0.0
10,2,"(2, 5)",2,5,117557.13101693678,3.335555041726214e-5,117557.13098358123,128 milliseconds,0.0
10,3,"(1, 3)",1,3,199251.48335073813,3.3341062574125594e-5,199251.48331739707,93 milliseconds,0.0
10,4,"(1, 4)",1,4,172.92775345129752,3.3864145218566996e-5,172.9277195871523,81 milliseconds,0.0
10,5,"(2, 6)",2,6,4900.471319148841,3.303856388466743e-5,4900.471286110277,96 milliseconds,0.0
10,6,"(2, 1)",2,1,66044.31836300866,61030.546631093806,5013.7717319148505,124 milliseconds,0.0
10,7,"(1, 5)",1,5,81313.14319877671,3.319095378435636e-5,81313.14316558576,95 milliseconds,0.0
10,8,"(1, 6)",1,6,1594.174875845526,3.302564724986092e-5,1594.1748428198787,103 milliseconds,0.0
10,9,"(2, 2)",2,2,250644.8643549069,11209.71282502694,239435.15152987995,114 milliseconds,1.0
10,10,"(2, 3)",2,3,10112.313251730207,3.6783832795354104e-5,10112.313214946375,118 milliseconds,0.0
